Primary_Accession_No,Generic_Name,Target_Num,Entry_Num,preg_risk_cat,pfam_id
DB01009,Ketoprofen,3,1,B,PF07690
DB01009,Ketoprofen,4,1,B,PF00273
DB01009,Ketoprofen,5,1,B,PF00048
DB00881,Quinapril,1,1,D,PF01401
DB00881,Quinapril,2,1,D,PF01401
DB01115,Nifedipine,1,1,C,PF00092
DB01115,Nifedipine,1,2,C,PF02743
DB01115,Nifedipine,1,3,C,PF08399
DB01115,Nifedipine,1,4,C,PF08473
DB01142,Doxepin,1,1,C,PF00209
DB01142,Doxepin,1,2,C,PF03491
DB01142,Doxepin,2,1,C,PF00209
DB01142,Doxepin,3,1,C,PF00001
DB01142,Doxepin,4,1,C,PF00001
DB00860,Prednisolone,1,1,C,PF00079
DB00640,Adenosine,1,1,C,PF00211
DB00640,Adenosine,2,1,C,PF00229
DB00640,Adenosine,3,1,C,PF00001
DB00975,Dipyridamole,1,1,B,PF00233
DB00975,Dipyridamole,1,2,B,PF01590
DB00975,Dipyridamole,2,1,B,PF00233
DB00975,Dipyridamole,2,2,B,PF01590
DB00975,Dipyridamole,3,1,B,PF00005
DB00975,Dipyridamole,3,2,B,PF00664
DB00975,Dipyridamole,4,1,B,PF00233
DB00975,Dipyridamole,5,1,B,PF00962
DB00191,Phentermine,1,1,C,PF00209
DB00191,Phentermine,2,1,C,PF00209
DB00191,Phentermine,3,1,C,PF01593
DB00191,Phentermine,4,1,C,PF01593
DB00191,Phentermine,5,1,C,PF00209
DB00191,Phentermine,5,2,C,PF03491
DB01076,Atorvastatin,10,1,X,PF01731
DB01076,Atorvastatin,11,1,X,PF00229
DB01076,Atorvastatin,12,1,X,PF00104
DB01076,Atorvastatin,12,2,X,PF00105
DB01076,Atorvastatin,13,1,X,PF00071
DB01076,Atorvastatin,14,1,X,PF00104
DB01076,Atorvastatin,14,2,X,PF00105
DB01076,Atorvastatin,15,1,X,PF01391
DB01076,Atorvastatin,16,1,X,PF00493
DB01076,Atorvastatin,17,1,X,PF00493
DB01076,Atorvastatin,1,1,X,PF00368
DB01076,Atorvastatin,2,1,X,PF00079
DB01076,Atorvastatin,3,1,X,PF00229
DB01076,Atorvastatin,4,1,X,PF00354
DB01076,Atorvastatin,5,1,X,PF01347
DB01076,Atorvastatin,5,2,X,PF06448
DB01076,Atorvastatin,5,3,X,PF09172
DB01076,Atorvastatin,6,1,X,PF00079
DB01076,Atorvastatin,7,1,X,PF00067
DB01076,Atorvastatin,8,1,X,PF00048
DB01076,Atorvastatin,9,1,X,PF00341
DB00668,Epinephrine,1,1,C,PF00001
DB00668,Epinephrine,2,1,C,PF00001
DB00668,Epinephrine,3,1,C,PF00001
DB00668,Epinephrine,4,1,C,PF00351
DB00668,Epinephrine,4,2,C,PF01842
DB00997,Doxorubicin,1,1,D,PF00204
DB00997,Doxorubicin,1,2,D,PF00521
DB00997,Doxorubicin,1,3,D,PF02518
DB00997,Doxorubicin,1,4,D,PF08070
DB00544,Fluorouracil,1,1,D,PF00303
DB00544,Fluorouracil,2,1,D,PF00037
DB00544,Fluorouracil,2,2,D,PF00070
DB00544,Fluorouracil,2,3,D,PF01180
DB00544,Fluorouracil,2,4,D,PF07992
DB00544,Fluorouracil,3,1,D,PF01048
DB00544,Fluorouracil,4,1,D,PF00156
DB00842,Oxazepam,1,1,D,PF02931
DB00842,Oxazepam,1,2,D,PF02932
DB00842,Oxazepam,2,1,D,PF00273
DB00753,Isoflurane,1,1,C,PF00122
DB00753,Isoflurane,1,2,C,PF00689
DB00753,Isoflurane,1,3,C,PF00690
DB00753,Isoflurane,1,4,C,PF00702
DB00753,Isoflurane,2,1,C,PF00401
DB00753,Isoflurane,2,2,C,PF02823
DB00753,Isoflurane,3,1,C,PF00146
DB00753,Isoflurane,4,1,C,PF02931
DB00753,Isoflurane,4,2,C,PF02932
DB00753,Isoflurane,5,1,C,PF00520
DB00753,Isoflurane,5,2,C,PF02214
DB00753,Isoflurane,6,1,C,PF00060
DB00753,Isoflurane,6,2,C,PF01094
DB00753,Isoflurane,7,1,C,PF02931
DB00753,Isoflurane,7,2,C,PF02932
DB00753,Isoflurane,8,1,C,PF00036
DB00701,Amprenavir,1,1,C,PF00077
DB00261,Anagrelide,1,1,C,PF00233
DB00199,Erythromycin,2,1,B,PF00237
DB00199,Erythromycin,3,1,B,PF00573
DB00810,Biperiden,1,1,C,PF02931
DB00810,Biperiden,1,2,C,PF02932
DB00810,Biperiden,2,1,C,PF00001
DB00634,Sulfacetamide,1,1,C,PF00425
DB00634,Sulfacetamide,1,2,C,PF04715
DB00455,Loratadine,1,1,B,PF00001
DB00518,Albendazole,1,1,C,PF00091
DB00518,Albendazole,1,2,C,PF03953
DB00518,Albendazole,2,1,C,PF00091
DB00518,Albendazole,2,2,C,PF03953
DB00421,Spironolactone,1,1,D,PF00001
DB00421,Spironolactone,2,1,D,PF00104
DB00421,Spironolactone,2,2,D,PF00105
DB00724,Imiquimod,1,1,C,PF00560
DB00724,Imiquimod,1,2,C,PF01463
DB00724,Imiquimod,1,3,C,PF01582
DB00968,Methyldopa,1,1,B,PF00001
DB00788,Naproxen,1,1,C,PF00008
DB00788,Naproxen,1,2,C,PF03098
DB00788,Naproxen,2,1,C,PF00008
DB00788,Naproxen,2,2,C,PF03098
DB00741,Hydrocortisone,1,1,C,PF00191
DB00741,Hydrocortisone,2,1,C,PF00104
DB00741,Hydrocortisone,2,2,C,PF00105
DB00741,Hydrocortisone,2,3,C,PF02155
DB00741,Hydrocortisone,3,1,C,PF00976
DB00741,Hydrocortisone,3,2,C,PF08035
DB00741,Hydrocortisone,3,3,C,PF08384
DB00741,Hydrocortisone,4,1,C,PF00054
DB00741,Hydrocortisone,5,1,C,PF00175
DB00741,Hydrocortisone,5,2,C,PF00258
DB00741,Hydrocortisone,5,3,C,PF00667
DB00741,Hydrocortisone,5,4,C,PF02898
DB00741,Hydrocortisone,6,1,C,PF01477
DB00802,Alfentanil,1,1,C,PF00001
DB00802,Alfentanil,2,1,C,PF00061
DB00802,Alfentanil,3,1,C,PF00273
DB00802,Alfentanil,4,1,C,PF00005
DB00802,Alfentanil,4,2,C,PF00664
DB00802,Alfentanil,5,1,C,PF00067
DB00950,Fexofenadine,1,1,C,PF00001
DB00918,Almotriptan,1,1,C,PF00001
DB00918,Almotriptan,2,1,C,PF00001
DB00404,Alprazolam,1,1,D,PF02931
DB00404,Alprazolam,1,2,D,PF02932
DB00404,Alprazolam,2,1,D,PF02931
DB00404,Alprazolam,2,2,D,PF02932
DB00404,Alprazolam,3,1,D,PF03073
DB00404,Alprazolam,4,1,D,PF02931
DB00404,Alprazolam,4,2,D,PF02932
DB00404,Alprazolam,5,1,D,PF02931
DB00404,Alprazolam,5,2,D,PF02932
DB00404,Alprazolam,6,1,D,PF02931
DB00404,Alprazolam,6,2,D,PF02932
DB00404,Alprazolam,7,1,D,PF02931
DB00404,Alprazolam,7,2,D,PF02932
DB00178,Ramipril,1,1,D,PF01401
DB00178,Ramipril,2,1,D,PF01401
DB01200,Bromocriptine,1,1,B,PF00001
DB01200,Bromocriptine,2,1,B,PF00067
DB01200,Bromocriptine,3,1,B,PF00170
DB01200,Bromocriptine,3,2,B,PF02173
DB01200,Bromocriptine,4,1,B,PF00211
DB01200,Bromocriptine,4,2,B,PF06327
DB01200,Bromocriptine,5,1,B,PF03002
DB01068,Clonazepam,1,1,D,PF02931
DB01068,Clonazepam,1,2,D,PF02932
DB01068,Clonazepam,2,1,D,PF00273
DB01068,Clonazepam,3,1,D,PF03073
DB00254,Doxycycline,1,1,D,PF00163
DB00254,Doxycycline,1,2,D,PF01479
DB00254,Doxycycline,2,1,D,PF00380
DB00254,Doxycycline,3,1,D,PF00466
DB01017,Minocycline,10,1,D,PF00034
DB01017,Minocycline,1,1,D,PF00163
DB01017,Minocycline,1,2,D,PF01479
DB01017,Minocycline,2,1,D,PF00380
DB01017,Minocycline,4,1,D,PF00340
DB01017,Minocycline,4,2,D,PF02394
DB01017,Minocycline,5,1,D,PF01477
DB01017,Minocycline,6,1,D,PF00040
DB01017,Minocycline,6,2,D,PF00045
DB01017,Minocycline,6,3,D,PF00413
DB01017,Minocycline,6,4,D,PF01471
DB01017,Minocycline,6,5,D,PF04886
DB01017,Minocycline,7,1,D,PF00341
DB01017,Minocycline,8,1,D,PF00619
DB01017,Minocycline,8,2,D,PF00656
DB01017,Minocycline,9,1,D,PF00656
DB00313,Valproic Acid,1,1,D,PF00202
DB00313,Valproic Acid,2,1,D,PF00850
DB00313,Valproic Acid,3,1,D,PF00441
DB00313,Valproic Acid,3,2,D,PF02770
DB00313,Valproic Acid,3,3,D,PF02771
DB00915,Amantadine,1,1,C,PF00001
DB00915,Amantadine,2,1,C,PF00001
DB00915,Amantadine,3,1,C,PF00599
DB00222,Glimepiride,1,1,C,PF01007
DB00222,Glimepiride,2,1,C,PF01007
DB00425,Zolpidem,1,1,C,PF03073
DB00425,Zolpidem,2,1,C,PF02931
DB00425,Zolpidem,2,2,C,PF02932
DB00952,Naratriptan,1,1,C,PF00001
DB00952,Naratriptan,2,1,C,PF00001
DB00952,Naratriptan,3,1,C,PF00001
DB00415,Ampicillin,1,1,B,PF00905
DB00415,Ampicillin,1,2,B,PF00912
DB00292,Etomidate,1,1,C,PF02931
DB00292,Etomidate,1,2,C,PF02932
DB00292,Etomidate,2,1,C,PF00083
DB00479,Amikacin,1,1,D,PF00164
DB01223,Aminophylline,1,1,C,PF00233
DB01223,Aminophylline,2,1,C,PF00001
DB01223,Aminophylline,3,1,C,PF00001
DB01118,Amiodarone,1,1,D,PF00001
DB01118,Amiodarone,2,1,D,PF00001
DB01118,Amiodarone,3,1,D,PF00027
DB01118,Amiodarone,3,2,D,PF00520
DB01118,Amiodarone,3,3,D,PF00989
DB00381,Amlodipine,1,1,C,PF00194
DB00381,Amlodipine,2,1,C,PF00822
DB00381,Amlodipine,3,1,C,PF00520
DB00927,Famotidine,1,1,B,PF00001
DB00681,Amphotericin B,1,1,B,PF03694
DB01242,Clomipramine,1,1,C,PF00209
DB01242,Clomipramine,1,2,C,PF03491
DB01242,Clomipramine,2,1,C,PF00209
DB01242,Clomipramine,3,1,C,PF00043
DB01242,Clomipramine,3,2,C,PF02798
DB01242,Clomipramine,4,1,C,PF00001
DB00861,Diflunisal,1,1,C,PF00008
DB00861,Diflunisal,1,2,C,PF03098
DB00861,Diflunisal,2,1,C,PF00008
DB00861,Diflunisal,2,2,C,PF03098
DB00861,Diflunisal,3,1,C,PF00576
DB00861,Diflunisal,4,1,C,PF00273
DB00193,Tramadol,1,1,C,PF00001
DB00193,Tramadol,2,1,C,PF00209
DB00193,Tramadol,3,1,C,PF00001
DB00193,Tramadol,4,1,C,PF00001
DB00193,Tramadol,5,1,C,PF00209
DB00193,Tramadol,5,2,C,PF03491
DB00665,Nilutamide,1,1,C,PF00001
DB00665,Nilutamide,2,1,C,PF00104
DB00665,Nilutamide,2,2,C,PF00105
DB00665,Nilutamide,2,3,C,PF02166
DB00424,Hyoscyamine,1,1,C,PF00001
DB00424,Hyoscyamine,2,1,C,PF00001
DB00916,Metronidazole,1,1,B,PF00037
DB00916,Metronidazole,1,2,B,PF00111
DB00916,Metronidazole,1,3,B,PF02256
DB00916,Metronidazole,1,4,B,PF02906
DB00916,Metronidazole,3,1,B,PF00881
DB01174,Phenobarbital,1,1,D,PF02931
DB01174,Phenobarbital,1,2,D,PF02932
DB01099,Flucytosine,1,1,C,PF00303
DB01099,Flucytosine,2,1,C,PF00145
DB01099,Flucytosine,2,2,C,PF01426
DB01099,Flucytosine,2,3,C,PF02008
DB01099,Flucytosine,2,4,C,PF06464
DB01069,Promethazine,10,1,C,PF00036
DB01069,Promethazine,1,1,C,PF00001
DB01069,Promethazine,2,1,C,PF00001
DB01069,Promethazine,3,1,C,PF00001
DB01069,Promethazine,4,1,C,PF00001
DB01069,Promethazine,5,1,C,PF00001
DB01069,Promethazine,6,1,C,PF00001
DB01069,Promethazine,7,1,C,PF00001
DB01069,Promethazine,8,1,C,PF00001
DB01069,Promethazine,9,1,C,PF00001
DB01205,Flumazenil,1,1,C,PF02931
DB01205,Flumazenil,1,2,C,PF02932
DB00584,Enalapril,1,1,D,PF01401
DB00584,Enalapril,2,1,D,PF01401
DB00829,Diazepam,1,1,D,PF03073
DB00829,Diazepam,2,1,D,PF02931
DB00829,Diazepam,2,2,D,PF02932
DB00829,Diazepam,3,1,D,PF02931
DB00829,Diazepam,3,2,D,PF02932
DB00829,Diazepam,4,1,D,PF02931
DB00829,Diazepam,4,2,D,PF02932
DB00822,Disulfiram,1,1,C,PF00171
DB00822,Disulfiram,2,1,C,PF03073
DB00737,Meclizine,1,1,B,PF00001
DB00757,Dolasetron,1,1,B,PF02931
DB00757,Dolasetron,1,2,B,PF02932
DB00669,Sumatriptan,1,1,C,PF00001
DB00669,Sumatriptan,2,1,C,PF00001
DB00669,Sumatriptan,3,1,C,PF00001
DB00669,Sumatriptan,4,1,C,PF00001
DB00181,Baclofen,1,1,C,PF00003
DB00181,Baclofen,1,2,C,PF00084
DB00181,Baclofen,1,3,C,PF01094
DB00181,Baclofen,2,1,C,PF00003
DB00181,Baclofen,2,2,C,PF01094
DB00628,Clorazepate,1,1,D,PF03073
DB00628,Clorazepate,2,1,D,PF02931
DB00628,Clorazepate,2,2,D,PF02932
DB01147,Cloxacillin,1,1,B,PF00905
DB01147,Cloxacillin,1,2,B,PF00912
DB01147,Cloxacillin,2,1,B,PF00273
DB01147,Cloxacillin,3,1,B,PF00144
DB00985,Dimenhydrinate,1,1,B,PF00001
DB00690,Flurazepam,1,1,X,PF02931
DB00690,Flurazepam,1,2,X,PF02932
DB00690,Flurazepam,2,1,X,PF02931
DB00690,Flurazepam,2,2,X,PF02932
DB00690,Flurazepam,3,1,X,PF02931
DB00690,Flurazepam,3,2,X,PF02932
DB00690,Flurazepam,4,1,X,PF02931
DB00690,Flurazepam,4,2,X,PF02932
DB00690,Flurazepam,5,1,X,PF02931
DB00690,Flurazepam,5,2,X,PF02932
DB00690,Flurazepam,6,1,X,PF02931
DB00690,Flurazepam,6,2,X,PF02932
DB00690,Flurazepam,7,1,X,PF02931
DB00690,Flurazepam,7,2,X,PF02932
DB00690,Flurazepam,8,1,X,PF02931
DB00690,Flurazepam,8,2,X,PF02932
DB00690,Flurazepam,9,1,X,PF02931
DB00690,Flurazepam,9,2,X,PF02932
DB00695,Furosemide,1,1,C,PF00324
DB00695,Furosemide,1,2,C,PF08403
DB00695,Furosemide,2,1,C,PF00122
DB00695,Furosemide,2,2,C,PF00689
DB00695,Furosemide,2,3,C,PF00690
DB00695,Furosemide,2,4,C,PF00702
DB01241,Gemfibrozil,1,1,B,PF01477
DB01241,Gemfibrozil,2,1,B,PF00104
DB01241,Gemfibrozil,2,2,B,PF00105
DB01241,Gemfibrozil,3,1,B,PF03137
DB01241,Gemfibrozil,3,2,B,PF07648
DB00714,Apomorphine,1,1,C,PF00001
DB00714,Apomorphine,2,1,C,PF00001
DB00714,Apomorphine,3,1,C,PF00001
DB00714,Apomorphine,4,1,C,PF00001
DB00714,Apomorphine,5,1,C,PF00001
DB00714,Apomorphine,6,1,C,PF06387
DB01170,Guanethidine,1,1,C,PF00001
DB01170,Guanethidine,2,1,C,PF00001
DB01170,Guanethidine,3,1,C,PF00209
DB01170,Guanethidine,4,1,C,PF00001
DB01170,Guanethidine,5,1,C,PF00001
DB01170,Guanethidine,6,1,C,PF00001
DB01170,Guanethidine,7,1,C,PF00001
DB00502,Haloperidol,1,1,C,PF00001
DB00502,Haloperidol,2,1,C,PF00060
DB00502,Haloperidol,3,1,C,PF00001
DB00557,Hydroxyzine,1,1,C,PF00001
DB00458,Imipramine,1,1,D,PF00209
DB00458,Imipramine,2,1,D,PF00209
DB00458,Imipramine,2,2,D,PF03491
DB00458,Imipramine,3,1,D,PF00001
DB00808,Indapamide,1,1,B,PF00520
DB00808,Indapamide,2,1,B,PF02060
DB00332,Ipratropium,1,1,B,PF00001
DB00332,Ipratropium,2,1,B,PF00001
DB00836,Loperamide,1,1,C,PF00520
DB00836,Loperamide,2,1,C,PF00001
DB00836,Loperamide,3,1,C,PF00060
DB00836,Loperamide,4,1,C,PF00060
DB00836,Loperamide,4,2,C,PF01094
DB00836,Loperamide,5,1,C,PF00060
DB00836,Loperamide,5,2,C,PF01094
DB00836,Loperamide,6,1,C,PF00060
DB00836,Loperamide,7,1,C,PF00036
DB00836,Loperamide,8,1,C,PF00976
DB00836,Loperamide,8,2,C,PF08035
DB00836,Loperamide,8,3,C,PF08384
DB00836,Loperamide,9,1,C,PF00001
DB00186,Lorazepam,10,1,D,PF02931
DB00186,Lorazepam,10,2,D,PF02932
DB00186,Lorazepam,1,1,D,PF03073
DB00186,Lorazepam,2,1,D,PF02931
DB00186,Lorazepam,2,2,D,PF02932
DB00186,Lorazepam,3,1,D,PF02931
DB00186,Lorazepam,3,2,D,PF02932
DB00186,Lorazepam,4,1,D,PF02931
DB00186,Lorazepam,4,2,D,PF02932
DB00186,Lorazepam,5,1,D,PF02931
DB00186,Lorazepam,5,2,D,PF02932
DB00186,Lorazepam,6,1,D,PF02931
DB00186,Lorazepam,6,2,D,PF02932
DB00186,Lorazepam,7,1,D,PF02931
DB00186,Lorazepam,7,2,D,PF02932
DB00186,Lorazepam,8,1,D,PF02931
DB00186,Lorazepam,8,2,D,PF02932
DB00186,Lorazepam,9,1,D,PF02931
DB00186,Lorazepam,9,2,D,PF02932
DB00371,Meprobamate,1,1,D,PF02931
DB00371,Meprobamate,1,2,D,PF02932
DB00371,Meprobamate,2,1,D,PF02931
DB00371,Meprobamate,2,2,D,PF02932
DB00371,Meprobamate,3,1,D,PF02931
DB00371,Meprobamate,3,2,D,PF02932
DB00371,Meprobamate,4,1,D,PF02931
DB00371,Meprobamate,4,2,D,PF02932
DB00371,Meprobamate,5,1,D,PF02931
DB00371,Meprobamate,5,2,D,PF02932
DB00371,Meprobamate,6,1,D,PF02931
DB00371,Meprobamate,6,2,D,PF02932
DB00331,Metformin,1,1,B,PF02922
DB00331,Metformin,1,2,B,PF04739
DB01233,Metoclopramide,1,1,B,PF00001
DB01233,Metoclopramide,2,1,B,PF00001
DB00264,Metoprolol,1,1,C,PF00001
DB00698,Nitrofurantoin,1,1,B,PF00338
DB00698,Nitrofurantoin,2,1,B,PF00881
DB00698,Nitrofurantoin,3,1,B,PF00037
DB00698,Nitrofurantoin,3,2,B,PF01558
DB00698,Nitrofurantoin,3,3,B,PF01855
DB00698,Nitrofurantoin,3,4,B,PF02775
DB00585,Nizatidine,1,1,B,PF00001
DB00417,Penicillin V,1,1,B,PF00905
DB00417,Penicillin V,1,2,B,PF00912
DB00554,Piroxicam,1,1,C,PF00008
DB00554,Piroxicam,1,2,C,PF03098
DB00794,Primidone,1,1,D,PF02931
DB00794,Primidone,1,2,D,PF02932
DB00571,Propranolol,1,1,C,PF00001
DB00571,Propranolol,2,1,C,PF00001
DB00571,Propranolol,3,1,C,PF00001
DB00571,Propranolol,4,1,C,PF00001
DB00571,Propranolol,5,1,C,PF00001
DB00908,Quinidine,1,1,C,PF00520
DB00908,Quinidine,1,2,C,PF00612
DB00908,Quinidine,1,3,C,PF06512
DB00908,Quinidine,2,1,C,PF00061
DB00908,Quinidine,3,1,C,PF00005
DB00908,Quinidine,3,2,C,PF00664
DB00908,Quinidine,4,1,C,PF00027
DB00908,Quinidine,4,2,C,PF00520
DB00908,Quinidine,4,3,C,PF00989
DB00908,Quinidine,5,1,C,PF07885
DB00908,Quinidine,6,1,C,PF07885
DB00863,Ranitidine,1,1,B,PF00001
DB00364,Sucralfate,1,1,B,PF00273
DB00364,Sucralfate,2,1,B,PF00147
DB00364,Sucralfate,3,1,B,PF00147
DB00364,Sucralfate,4,1,B,PF00147
DB00675,Tamoxifen,1,1,D,PF00005
DB00675,Tamoxifen,1,2,D,PF00664
DB00675,Tamoxifen,2,1,D,PF00591
DB00675,Tamoxifen,2,2,D,PF02885
DB00675,Tamoxifen,2,3,D,PF07831
DB00675,Tamoxifen,3,1,D,PF00104
DB00675,Tamoxifen,3,2,D,PF00105
DB00675,Tamoxifen,3,3,D,PF02159
DB00675,Tamoxifen,4,1,D,PF00561
DB00675,Tamoxifen,4,2,D,PF00702
DB00675,Tamoxifen,5,1,D,PF00104
DB00675,Tamoxifen,5,2,D,PF00105
DB00231,Temazepam,1,1,X,PF03073
DB01124,Tolbutamide,1,1,C,PF01007
DB00661,Verapamil,10,1,C,PF00822
DB00661,Verapamil,11,1,C,PF00018
DB00661,Verapamil,11,2,C,PF00774
DB00661,Verapamil,12,1,C,PF00027
DB00661,Verapamil,12,2,C,PF00520
DB00661,Verapamil,12,3,C,PF00989
DB00661,Verapamil,13,1,C,PF00520
DB00661,Verapamil,13,2,C,PF08763
DB00661,Verapamil,14,1,C,PF00520
DB00661,Verapamil,15,1,C,PF00520
DB00661,Verapamil,1,1,C,PF00520
DB00661,Verapamil,1,2,C,PF00612
DB00661,Verapamil,1,3,C,PF06512
DB00661,Verapamil,2,1,C,PF00194
DB00661,Verapamil,3,1,C,PF01007
DB00661,Verapamil,4,1,C,PF00774
DB00661,Verapamil,5,1,C,PF00520
DB00661,Verapamil,6,1,C,PF00520
DB00661,Verapamil,6,2,C,PF08763
DB00661,Verapamil,7,1,C,PF00774
DB00661,Verapamil,8,1,C,PF00520
DB00661,Verapamil,8,2,C,PF08763
DB00661,Verapamil,9,1,C,PF00018
DB00661,Verapamil,9,2,C,PF00774
DB00012,Darbepoetin alfa,1,1,C,PF00041
DB01097,Leflunomide,1,1,X,PF01180
DB01097,Leflunomide,2,1,X,PF01477
DB00843,Donepezil,1,1,C,PF00135
DB00843,Donepezil,2,1,C,PF00001
DB01217,Anastrozole,1,1,X,PF00067
DB00990,Exemestane,1,1,D,PF00067
DB00467,Enoxacin,1,1,C,PF00521
DB00467,Enoxacin,1,2,C,PF03989
DB00467,Enoxacin,2,1,C,PF00521
DB00467,Enoxacin,2,2,C,PF03989
DB00467,Enoxacin,3,1,C,PF00204
DB00467,Enoxacin,3,2,C,PF00521
DB00467,Enoxacin,3,3,C,PF02518
DB00467,Enoxacin,3,4,C,PF08070
DB00543,Amoxapine,1,1,C,PF00209
DB00543,Amoxapine,1,2,C,PF03491
DB00543,Amoxapine,2,1,C,PF00209
DB00637,Astemizole,1,1,C,PF00001
DB00637,Astemizole,2,1,C,PF00067
DB00637,Astemizole,3,1,C,PF00027
DB00637,Astemizole,3,2,C,PF00520
DB00637,Astemizole,3,3,C,PF00989
DB00687,Fludrocortisone,1,1,C,PF00104
DB00687,Fludrocortisone,1,2,C,PF00105
DB01029,Irbesartan,1,1,D,PF00001
DB01029,Irbesartan,2,1,D,PF00079
DB01029,Irbesartan,3,1,D,PF00170
DB01029,Irbesartan,3,2,D,PF03957
DB00540,Nortriptyline,1,1,D,PF00209
DB00540,Nortriptyline,1,2,D,PF03491
DB00540,Nortriptyline,2,1,D,PF00209
DB00540,Nortriptyline,3,1,D,PF00273
DB00355,Aztreonam,1,1,B,PF00905
DB00355,Aztreonam,1,2,B,PF03717
DB00355,Aztreonam,1,3,B,PF05223
DB00355,Aztreonam,2,1,B,PF00144
DB00207,Azithromycin,2,1,B,PF00237
DB00207,Azithromycin,3,1,B,PF00573
DB01602,Bacampicillin,1,1,B,PF00905
DB01602,Bacampicillin,1,2,B,PF00912
DB00537,Ciprofloxacin,1,1,C,PF00521
DB00537,Ciprofloxacin,1,2,C,PF03989
DB00537,Ciprofloxacin,2,1,C,PF00521
DB00537,Ciprofloxacin,2,2,C,PF03989
DB00537,Ciprofloxacin,3,1,C,PF00273
DB00537,Ciprofloxacin,4,1,C,PF00204
DB00537,Ciprofloxacin,4,2,C,PF00521
DB00537,Ciprofloxacin,4,3,C,PF02518
DB00537,Ciprofloxacin,4,4,C,PF08070
DB00537,Ciprofloxacin,5,1,C,PF00873
DB00336,Nitrofurazone,1,1,C,PF00205
DB00336,Nitrofurazone,1,2,C,PF02775
DB00336,Nitrofurazone,1,3,C,PF02776
